Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.333333333,0,0,0,0.2,0,0,0.333333333,0,0.133333333,0,0
2,0.294117647,0,0,0,0.176470588,0,0,0.352941176,0,0.176470588,0,0
3,0.217391304,0,0.043478261,0,0.173913043,0.086956522,0,0.347826087,0,0.130434783,0,0
4,0.19047619,0,0.047619048,0,0.238095238,0.047619048,0,0.333333333,0,0.095238095,0,0.047619048
5,0.136363636,0,0.136363636,0,0.090909091,0.136363636,0,0.318181818,0,0.090909091,0,0.090909091
6,0.266666667,0,0,0,0.266666667,0,0,0.466666667,0,0,0,0
7,0.1875,0,0.0625,0,0.1875,0.125,0,0.375,0,0,0,0.0625
8,0.3,0,0.1,0,0.1,0.1,0,0.2,0,0.1,0.1,0
9,0.142857143,0,0.142857143,0,0.142857143,0.142857143,0,0.285714286,0,0,0,0.142857143
10,0.333333333,0,0,0,0.166666667,0.166666667,0,0,0.166666667,0.166666667,0,0
11,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0.2
12,0,0,0,0,0,0,0,0,0,0,0,1
13,0.333333333,0,0,0,0.222222222,0,0,0.333333333,0,0.111111111,0,0
14,0.333333333,0,0,0,0.133333333,0,0,0.333333333,0,0.2,0,0
15,0.269230769,0,0,0,0.192307692,0.038461538,0,0.346153846,0,0.153846154,0,0
16,0.25,0,0.083333333,0,0.208333333,0.083333333,0,0.291666667,0,0.041666667,0,0.041666667
17,0.208333333,0,0.083333333,0,0.125,0.125,0,0.291666667,0,0.125,0,0.041666667
18,0.294117647,0,0,0,0.294117647,0,0,0.352941176,0,0.058823529,0,0
19,0.222222222,0,0.111111111,0,0.166666667,0.055555556,0,0.333333333,0,0,0.055555556,0.055555556
20,0.2,0,0,0,0.2,0,0,0.4,0,0,0.2,0
21,0.25,0,0.125,0,0.125,0.125,0,0.25,0,0,0,0.125
22,0.111111111,0,0.111111111,0,0.222222222,0.222222222,0,0.222222222,0,0.111111111,0,0
23,0.166666667,0.166666667,0.166666667,0,0,0.166666667,0,0,0,0.166666667,0,0.166666667
24,0,0.142857143,0.285714286,0,0.428571429,0,0,0,0,0,0,0.142857143
25,0,0.5,0,0,0,0,0,0,0,0.5,0,0
26,0,0,0,0,0,0,0,1,0,0,0,0
27,0.133333333,0,0.066666667,0,0.133333333,0.266666667,0,0.333333333,0,0,0,0.066666667
28,0.277777778,0,0.055555556,0,0.111111111,0,0,0.444444444,0,0.055555556,0.055555556,0
29,0.5,0,0,0,0,0,0,0.5,0,0,0,0
30,0.285714286,0,0.142857143,0,0.142857143,0.142857143,0,0.142857143,0,0.142857143,0,0
31,0.5,0,0.333333333,0,0,0.166666667,0,0,0,0,0,0
32,0,0,0.125,0,0.125,0.25,0,0.25,0,0.125,0,0.125
33,0,0,0.166666667,0,0.166666667,0.333333333,0,0.333333333,0,0,0,0
34,0.6,0,0.2,0,0.2,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0
